sheet,well,tmb,hrp,h2o2,etoh,peg20k,dmso,pl127,bsa,pva,tw80,glycerol,tw20,imidazole,tx100,edta,mgcl2,sucrose,cacl2,zn2,paa,mn2,peg200k,fe2,peg5k,peg400,auc_mean,n_repeats,auc_mean_std,roi_sd_mean
pairwise 1,"[10,20]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,6.25,0,13.14194636,2,1.290212934,1.738439687
HRP,"[9,13]",0.018150097,0.0015,0.045860303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.737559791
HRP,"[2,13]",0.191326531,0.0015,0.045860303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176838239,1,,1.737076061
HRP,"[11,19]",0.009260253,0.0015,0.006090721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001185078,1,,1.7370232
single additive,"[5,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,1.162090201,0,0,0,0,0,0,0,0,0,0,0,0,0.038658768,1,,1.735341324
HRP,"[4,9]",0.097615577,0.0015,0.17617694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669040332,1,,1.730201892
single additive,"[3,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,2.277696793,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1.723497522
pairwise 1,"[1,13]",0.375,0.0015,1.857142857,0,6.25,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,0,11.14196629,2,3.728327522,1.716084124
pairwise 1,"[5,20]",0.375,0.0015,1.857142857,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,12.833738,2,0.80228918,1.715251964
pairwise 1,"[10,17]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0.625,0,0,0,0,17.56379805,2,2.557812686,1.712210949
single additive,"[10,9]",0.375,0.0015,1.857142857,0,0,0,0,0,0,0,0,0,0.216072581,0,0,0,0,0,0,0,0,0,0,0,0,0.377834121,1,,1.709483464
HRP,"[10,15]",0.012964355,0.0015,0.023398114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000875654,1,,1.707903063
pairwise 1,"[0,23]",0.375,0.0015,1.857142857,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.57745083,13,2.677160557,1.507961005
